Date|Price|Market Cap
2019-12-29|1|4125339509
2019-12-28|1|4109307163
2019-12-27|1,01|4131884754
2019-12-26|1|4124425332
2019-12-25|1|4127192621
2019-12-24|1,01|4143319248
2019-12-23|1,01|4157901176
2019-12-22|1|4124011171
2019-12-21|1,01|4131700084
2019-12-20|1,01|4132042361
2019-12-19|1,01|4143245799
2019-12-18|1,01|4133220482
2019-12-17|0,9933|4080682163
2019-12-16|1|4124418769
2019-12-15|1|4127007370
2019-12-14|1,01|4133054794
2019-12-13|1|4115239097
2019-12-12|1,01|4132023198
2019-12-11|1,01|4157024797
2019-12-10|1,01|4132097335
2019-12-09|1|4125515159
2019-12-08|1,01|4134238975
2019-12-07|1,01|4138492576
2019-12-06|1|4122124904
2019-12-05|1,01|4149419251
2019-12-04|1,01|4140656482
2019-12-03|1|4120924295
2019-12-02|1|4114951368
2019-12-01|1|4118235661
2019-11-30|1|4115041871
2019-11-29|1|4126616332
2019-11-28|1|4124805294
2019-11-27|1,01|4128694013
2019-11-26|1,01|4148191320
2019-11-25|1|4120837393
2019-11-24|1,02|4180011937
2019-11-23|1,01|4161983862
2019-11-22|1|4120554484
2019-11-21|1|4109731631
2019-11-20|1,01|4130393647
2019-11-19|1,01|4144883422
2019-11-18|1,01|4157375252
2019-11-17|1,01|4142844476
2019-11-16|1,01|4135759004
2019-11-15|1|4113666666
2019-11-14|1,01|4130975243
2019-11-13|1|4121088708
2019-11-12|1|4113788114
2019-11-11|1|4118061437
2019-11-10|1|4119110881
2019-11-09|1|4108822609
2019-11-08|1|4118305231
2019-11-07|1,01|4131592434
2019-11-06|1|4120504628
2019-11-05|1|4127530034
2019-11-04|1|4125883665
2019-11-03|1|4126314409
2019-11-02|1|4127588892
2019-11-01|1|4124890871
2019-10-31|1,01|4134412347
2019-10-30|1,01|4132087645
2019-10-29|1|4116816180
2019-10-28|1|4119771724
2019-10-27|1|4125469824
2019-10-26|1|4114596274
2019-10-25|1|4116967974
2019-10-24|1,01|4138558913
2019-10-23|1|4118105520
2019-10-22|1|4126489142
2019-10-21|1|4125208335
2019-10-20|1|4119901026
2019-10-19|1,01|4136188573
2019-10-18|1|4119297017
2019-10-17|1|4125325861
2019-10-16|1,01|4133212798
2019-10-15|1|4124681551
2019-10-14|1|4125276591
2019-10-13|1|4128347941
2019-10-12|1|4126426747
2019-10-11|1,01|4158787987
2019-10-10|1|4121340915
2019-10-09|1,01|4131538662
2019-10-08|1,01|4133186976
2019-10-07|1,01|4143061946
2019-10-06|1,01|4157697859
2019-10-05|1|4115980271
2019-10-04|1,01|4144365577
2019-10-03|1|4128369915
2019-10-02|1|4125482767
2019-10-01|1,01|4134317781
2019-09-30|1|4124922496
2019-09-29|1,01|4131364185
2019-09-28|1|4127056413
2019-09-27|1,01|4150539050
2019-09-26|1|4126247361
2019-09-25|1,01|4135771272
2019-09-24|1,01|4137451011
2019-09-23|1|4118512107
2019-09-22|1|4118866621
2019-09-21|1|4117713822
2019-09-20|1|4111952092
2019-09-19|1|4120322200
2019-09-18|1|4128128247
2019-09-17|1|4128114452
2019-09-16|1|4114723986
2019-09-15|1|4123580642
2019-09-14|1|4114222770
2019-09-13|1|4097467740
2019-09-12|1|4101324783
2019-09-11|1|4098035281
2019-09-10|0,9998|4087401867
2019-09-09|1|4086341063
2019-09-08|1,01|4092580762
2019-09-07|1,01|4076795700
2019-09-06|1|4066603136
2019-09-05|1|4039613908
2019-09-04|1|4035748884
2019-09-03|1|4036034882
2019-09-02|1|4019029082
2019-09-01|1|4026198550
2019-08-31|1|4022874816
2019-08-30|1|4016648657
2019-08-29|1|4016076899
2019-08-28|0,9969|3993337718
2019-08-27|0,9991|4051946618
2019-08-26|1|4061567312
2019-08-25|0,9996|4047319907
2019-08-24|1|4059783763
2019-08-23|1|4064927506
2019-08-22|1|4055957258
2019-08-21|0,9945|4021552170
2019-08-20|1|4045850196
2019-08-19|1|4060897533
2019-08-18|1|4057444466
2019-08-17|1|4047320852
2019-08-16|1|4053428776
2019-08-15|1|4053746971
2019-08-14|0,9933|4015336888
2019-08-13|0,9966|4029041082
2019-08-12|0,9984|4036397868
2019-08-11|0,9977|4033923480
2019-08-10|0,9997|4042064736
2019-08-09|0,9987|4038339618
2019-08-08|0,9975|4032631239
2019-08-07|1|4047815470
2019-08-06|0,9982|4032665588
2019-08-05|1,01|4080179145
2019-08-04|1,01|4046865535
2019-08-03|1|4043681423
2019-08-02|1|4033499119
2019-08-01|1,01|4050895289
2019-07-31|1|4041560025
2019-07-30|1|4035591592
2019-07-29|1|4029661620
2019-07-28|1|4036568223
2019-07-27|0,9989|4023148586
2019-07-26|1|4040171251
2019-07-25|1|4037152968
2019-07-24|1|4036055230
2019-07-23|0,9976|4014962125
2019-07-22|1|4028586251
2019-07-21|1|4030144850
2019-07-20|1,01|4047279803
2019-07-19|1|4030698285
2019-07-18|1,01|4007527468
2019-07-17|1,01|3995324969
2019-07-16|0,9959|3936469134
2019-07-15|1,01|3969197087
2019-07-14|1|3916691732
2019-07-13|0,9987|3906601065
2019-07-12|1,01|3912950351
2019-07-11|0,9965|3853202592
2019-07-10|0,9998|3844539299
2019-07-09|1|3847191980
2019-07-08|1|3778152236
2019-07-07|1|3710332355
2019-07-06|0,9974|3688689726
2019-07-05|1|3694148236
2019-07-04|0,9999|3663725121
2019-07-03|1,01|3651596466
2019-07-02|1|3619787352
2019-07-01|0,9961|3586361277
2019-06-30|0,9925|3573328668
2019-06-29|0,9986|3595353336
2019-06-28|1|3600766046
2019-06-27|0,9857|3534068745
2019-06-26|0,9918|3545698254
2019-06-25|0,9993|3534644505
2019-06-24|0,9978|3563170776
2019-06-23|0,9967|3520635648
2019-06-22|0,9958|3517547293
2019-06-21|1|3573037046
2019-06-20|1|3548510405
2019-06-19|1|3542188390
2019-06-18|1|3529616182
2019-06-17|1|3540042489
2019-06-16|1|3479357227
2019-06-15|1,01|3456234353
2019-06-14|1,01|3453254932
2019-06-13|1|3428991225
2019-06-12|1|3364252865
2019-06-11|1,01|3325919824
2019-06-10|1,01|3294730228
2019-06-09|1|3248557122
2019-06-08|1|3254244638
2019-06-07|1,01|3260471456
2019-06-06|1|3241244686
2019-06-05|1,01|3209466412
2019-06-04|0,9951|3147471970
2019-06-03|0,9996|3134744366
2019-06-02|1|3138617718
2019-06-01|1|3144304603
2019-05-31|1|3141419357
2019-05-30|1|3125081885
2019-05-29|1|3119583210
2019-05-28|1|3118810070
2019-05-27|1|3099775591
2019-05-26|1,01|3092734490
2019-05-25|1|3068124541
2019-05-24|1|3040673514
2019-05-23|1|2985994358
2019-05-22|1|2931005794
2019-05-21|1,01|2936972060
2019-05-20|1|2876744726
2019-05-19|1,01|2870362982
2019-05-18|0,9966|2829192012
2019-05-17|0,9968|2829570346
2019-05-16|0,999|2834358443
2019-05-15|1|2831709801
2019-05-14|1|2801454823
2019-05-13|1,01|2814581049
2019-05-12|0,9956|2765964070
2019-05-11|1|2780202557
2019-05-10|1|2779655673
2019-05-09|0,9993|2774598197
2019-05-08|1|2780409484
2019-05-07|0,998|2771084835
2019-05-06|0,9995|2775335548
2019-05-05|1|2786657649
2019-05-04|1|2781657476
2019-05-03|1|2783727234
2019-05-02|1|2782770293
2019-05-01|1|2800146869
2019-04-30|1,01|2851502734
2019-04-29|1|2835764600
2019-04-28|0,9939|2829388044
2019-04-27|0,9948|2831886955
2019-04-26|0,9911|2821503163
2019-04-25|0,9928|2842830013
2019-04-24|1,01|2843517618
2019-04-23|1,01|2698944300
2019-04-22|1,01|2627691194
2019-04-21|1,01|2601017107
2019-04-20|1,01|2580691185
2019-04-19|1,01|2582526477
2019-04-18|1|2561734880
2019-04-17|1,01|2541510568
2019-04-16|1,01|2501559972
2019-04-15|1|2461221437
2019-04-14|1,01|2431637598
2019-04-13|1,01|2434771925
2019-04-12|1,01|2425813372
2019-04-11|1,01|2318990462
2019-04-10|1|2271407886
2019-04-09|1,01|2212375022
2019-04-08|1,01|2158728024
2019-04-07|1|2090015279
2019-04-06|1|2086940761
2019-04-05|1,01|2091887834
2019-04-04|1,01|2086183477
2019-04-03|1,01|2083736155
2019-04-02|1,01|2058622343
2019-04-01|1|2044790317
2019-03-31|1|2029986705
2019-03-30|1|2029560141
2019-03-29|0,9985|2025447734
2019-03-28|1,01|2050152763
2019-03-27|1,01|2052994600
2019-03-26|1,01|2041600212
2019-03-25|1,01|2035968594
2019-03-24|1,01|2032100364
2019-03-23|1,01|2035564495
2019-03-22|1,01|2026517620
2019-03-21|1,01|2034791375
2019-03-20|1,01|2032419228
2019-03-19|1,01|2039364772
2019-03-18|1,01|2023596102
2019-03-17|1,01|2020136779
2019-03-16|1,01|2023624450
2019-03-15|1,01|2019386958
2019-03-14|1,01|2021198680
2019-03-13|1,01|2016486636
2019-03-12|1,01|2009529080
2019-03-11|1,01|2013884109
2019-03-10|1,01|2011853490
2019-03-09|1,01|2006176237
2019-03-08|1,01|2013254636
2019-03-07|1,01|2011160434
2019-03-06|1,01|2015364290
2019-03-05|1,01|2045218544
2019-03-04|1,01|2046154638
2019-03-03|1,01|2043328705
2019-03-02|1,01|2046557763
2019-03-01|1,01|2035341543
2019-02-28|1,01|2041809695
2019-02-27|1,01|2039742726
2019-02-26|1,01|2043385025
2019-02-25|1,02|2051885482
2019-02-24|1,01|2045808840
