Date|Price|Market Cap
2020-06-20|0,9992|731679484
2020-06-19|0,9985|731138926
2020-06-18|1|733934539
2020-06-17|1|733108840
2020-06-16|1|732354854
2020-06-15|1|732922437
2020-06-14|1|735592844
2020-06-13|1|732993965
2020-06-12|1|733338647
2020-06-11|1|733934795
2020-06-10|0,9995|730053627
2020-06-09|1|742358301
2020-06-08|0,9984|735400453
2020-06-07|1|735558465
2020-06-06|0,9983|733062335
2020-06-05|1|737098010
2020-06-04|1|736098442
2020-06-03|0,9999|732000939
2020-06-02|0,9989|733401633
2020-06-01|1|727045905
2020-05-31|1|728548294
2020-05-30|1|744189846
2020-05-29|1|743577975
2020-05-28|0,999|738416890
2020-05-27|1|736647569
2020-05-26|0,9994|745730541
2020-05-25|1|707866970
2020-05-24|1|707936082
2020-05-23|1|709487843
2020-05-22|1|708460100
2020-05-21|1|707650725
2020-05-20|1|706230046
2020-05-19|0,9954|702987442
2020-05-18|1|707164426
2020-05-17|1|707365372
2020-05-16|0,9993|705770466
2020-05-15|1|708321150
2020-05-14|0,9969|704037845
2020-05-13|1|706953524
2020-05-12|1|707081134
2020-05-11|0,9973|704347645
2020-05-10|1|707434772
2020-05-09|1|707731494
2020-05-08|1|709059520
2020-05-07|1|706891936
2020-05-06|1,01|711940631
2020-05-05|0,9991|705617261
2020-05-04|1|708112192
2020-05-03|0,9993|705834653
2020-05-02|1|708705583
2020-05-01|1|711412929
2020-04-30|1|724193405
2020-04-29|1,01|725730674
2020-04-28|1|731472167
2020-04-27|1|750692090
2020-04-26|0,999|749507141
2020-04-25|1|754368174
2020-04-24|1,01|754808506
2020-04-23|0,9938|726970057
2020-04-22|1|722356290
2020-04-21|1|724669381
2020-04-20|1|734209826
2020-04-19|1,01|727639125
2020-04-18|0,9999|725010146
2020-04-17|1,01|729393883
2020-04-16|1|729095204
2020-04-15|0,9997|729002171
2020-04-14|0,9959|728853776
2020-04-13|0,9984|719711884
2020-04-12|1|705426851
2020-04-11|0,995|702269700
2020-04-10|0,999|705015884
2020-04-09|1|708917310
2020-04-08|0,9958|706825719
2020-04-07|0,9963|688030395
2020-04-06|0,9967|679546956
2020-04-05|1|696526423
2020-04-04|1|698932647
2020-04-03|1|699059097
2020-04-02|0,9996|688965447
2020-04-01|0,9957|685000023
2020-03-31|1|687838791
2020-03-30|1,01|691900635
2020-03-29|0,978|675033086
2020-03-28|0,9969|680395721
2020-03-27|1,01|691479724
2020-03-26|0,9941|677435271
2020-03-25|0,9975|683296387
2020-03-24|0,996|683467262
2020-03-23|0,991|662373524
2020-03-22|0,9959|662820963
2020-03-21|1|666270881
2020-03-20|0,9966|639217501
2020-03-19|1|640083089
2020-03-18|0,9701|606216197
2020-03-17|0,9702|604380538
2020-03-16|0,9986|597953853
2020-03-15|1|579058579
2020-03-14|1|557157426
2020-03-13|1|464030677
2020-03-12|1,04|514092342
2020-03-11|0,9973|461588062
2020-03-10|1|452553331
2020-03-09|1|454869720
2020-03-08|1,01|464091837
2020-03-07|1|459837844
2020-03-06|0,9974|458672760
2020-03-05|1|459970200
2020-03-04|1|463047219
2020-03-03|1|453161639
2020-03-02|0,9942|448782632
2020-03-01|1|439323845
2020-02-29|1|441099169
2020-02-28|0,993|436244470
2020-02-27|1|438638698
2020-02-26|1|426520182
2020-02-25|1|423578415
2020-02-24|0,9995|422121610
2020-02-23|0,9973|420317424
2020-02-22|0,9999|421907886
2020-02-21|1,01|425248964
2020-02-20|1,01|424428014
2020-02-19|1,01|434360222
2020-02-18|1,02|438978282
2020-02-17|1,01|430832170
2020-02-16|1,01|429727973
2020-02-15|1,01|430447117
